label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
silence,-92.741638,1.695322,-0.514449,1.646494,2.717035,1.475549,2.167182,0.948356,1.431349,1.316452,0.415460,0.544432,0.821538
silence,-91.515480,2.016671,-0.511936,2.418107,2.757810,1.745179,2.105995,0.641591,1.219456,1.579793,2.055335,0.909271,1.037572
silence,-92.145485,1.018970,-1.377056,2.257154,3.659923,1.470389,0.867243,0.664262,0.692461,0.406422,1.077962,0.452624,0.962949
silence,-92.674294,0.986071,-0.479271,2.354873,3.352685,1.314268,1.156624,0.879433,0.571181,1.083915,1.727963,1.486302,-0.074417
silence,-93.591515,0.624254,-0.603331,2.238624,2.341424,1.086651,1.651253,0.305096,0.655897,1.621475,1.517568,1.452320,1.049983
silence,-94.546364,0.401223,-1.079946,2.299506,2.702422,1.427413,1.497102,1.464684,1.490773,1.237885,1.208970,1.159549,0.307032
silence,-92.055008,0.857194,-1.253666,1.665339,2.840870,1.380893,1.084139,0.913939,1.312684,0.759841,1.007852,0.443811,0.170724
silence,-93.156097,1.530535,0.677132,3.739063,3.532014,1.471771,1.336546,2.180864,1.346832,1.496744,1.495413,1.588352,0.945239
silence,-94.448952,0.229923,-1.154390,0.993977,2.834269,1.999589,2.038002,0.858269,0.598149,-0.206424,0.445446,0.723636,1.425682
silence,-94.559525,-0.031281,-1.996047,2.990938,3.493272,2.051648,2.436080,1.729128,1.791221,1.020244,0.899482,0.389612,0.388924
silence,-93.698349,0.704042,-0.219759,2.336271,2.618650,1.170184,1.580682,1.155764,1.285363,1.947971,1.225189,1.259186,1.196271
silence,-93.805000,1.274847,0.026751,2.090354,2.522815,1.748601,1.660085,0.217368,1.165081,1.765091,1.111916,1.015774,0.415723
silence,-94.730911,0.804016,-1.325503,1.882979,3.072071,2.014170,1.771807,1.643230,1.015500,2.269240,2.351155,1.494898,1.185538
silence,-94.473030,0.477780,-1.170354,1.463788,2.638876,1.646269,1.516367,1.852603,1.214553,1.051816,1.687845,2.077711,1.895140
silence,-92.134613,1.675734,-1.305562,1.822659,3.362660,1.982603,2.158029,1.465014,1.962139,0.802351,0.764036,0.950196,0.677811
silence,-93.054192,1.405822,-0.635806,2.456294,3.581372,1.305264,1.592162,1.977573,2.005226,2.230924,0.827162,0.024531,1.194147
# DONE
# DONE
# DONE
# DONE
# DONE
